SecuCode,FirstIndustryName
600890,房地产
600892,传媒
600960,汽车
002299,农林牧渔
601218,电力设备
300206,医药
601113,石油石化
300372,电力设备
601233,石油石化
601599,传媒
601798,机械
300233,医药
300237,汽车
002593,汽车
300421,机械
002757,机械
300505,基础化工
002779,机械
300565,通信
002831,轻工制造
000006,房地产
000028,医药
000030,综合
000037,电力及公用事业
000039,机械
000078,医药
000089,交通运输
000150,房地产
000153,医药
000156,传媒
000401,建材
000403,医药
000408,钢铁
000410,机械
000504,传媒
000506,房地产
000514,房地产
000516,医药
000539,电力及公用事业
000541,家电
000548,交通运输
000550,汽车
000573,房地产
000585,电力设备
000587,商贸零售
000611,综合
000613,餐饮旅游
000623,医药
000659,轻工制造
000661,医药
000669,电力及公用事业
000671,房地产
000697,有色金属
000702,农林牧渔
000705,医药
000708,钢铁
000731,石油石化
000733,电子元器件
000736,房地产
000750,非银行金融
000752,食品饮料
000785,商贸零售
000795,建材
000797,房地产
000823,电子元器件
000826,电力及公用事业
000833,轻工制造
000836,通信
000881,综合
000883,电力及公用事业
000889,通信
000892,传媒
000917,传媒
000919,医药
000927,汽车
000929,综合
000962,有色金属
000965,房地产
000972,农林牧渔
000975,有色金属
002231,通信
002233,建材
002242,家电
002241,电子元器件
002250,基础化工
601766,机械
601788,非银行金融
002362,计算机
002281,通信
002293,纺织服装
002297,钢铁
603456,医药
002608,机械
603197,汽车
300267,医药
300273,医药
601677,有色金属
002745,电子元器件
300283,电力设备
300530,基础化工
002740,纺织服装
603959,建筑
002761,纺织服装
603318,机械
300398,基础化工
603188,基础化工
603383,计算机
300374,建材
603703,电子元器件
002755,建筑
603025,计算机
002766,计算机
002762,纺织服装
603636,计算机
603986,电子元器件
002760,机械
002793,机械
002809,基础化工
300462,电子元器件
300512,机械
300517,建筑
601212,有色金属
603991,基础化工
600007,房地产
600009,交通运输
600019,钢铁
600021,电力及公用事业
600061,非银行金融
600063,基础化工
600068,建筑
600070,综合
600072,机械
600095,房地产
600097,农林牧渔
600102,钢铁
600104,汽车
600128,综合
600130,通信
600138,餐饮旅游
600141,基础化工
600170,建筑
600172,建材
600180,交通运输
600182,汽车
600207,综合
600209,建筑
600215,房地产
600217,电力及公用事业
600241,商贸零售
600243,机械
600252,医药
600255,有色金属
600280,商贸零售
600282,钢铁
600289,通信
600291,非银行金融
600317,交通运输
600319,基础化工
600325,房地产
600327,汽车
600329,医药
600355,通信
600359,农林牧渔
600365,食品饮料
600367,基础化工
600392,有色金属
600395,煤炭
600403,煤炭
600406,电力设备
300148,传媒
300169,基础化工
300161,机械
300191,计算机
601890,机械
300171,机械
300181,医药
300183,电子元器件
601616,电力设备
300203,电力及公用事业
002558,传媒
300187,电力及公用事业
300185,电力设备
601258,汽车
300211,通信
002563,纺织服装
300204,医药
603088,机械
002782,电子元器件
300351,机械
300355,建筑
300396,医药
002707,餐饮旅游
002748,基础化工
603385,建材
603096,传媒
002862,轻工制造
603335,汽车
603316,建筑
603233,医药
300648,机械
002147,房地产
002175,传媒
002192,建材
002182,有色金属
601088,煤炭
601857,石油石化
002208,房地产
601390,建筑
002213,汽车
002623,建材
300278,机械
002640,商贸零售
300279,家电
002642,计算机
300287,计算机
601313,机械
300567,机械
603996,电子元器件
601155,房地产
600446,计算机
600449,建材
600461,电力及公用事业
600463,房地产
600496,建筑
600498,通信
600503,房地产
600506,农林牧渔
600531,有色金属
600533,房地产
600543,食品饮料
600546,煤炭
600571,计算机
600573,食品饮料
600581,钢铁
600583,石油石化
600606,房地产
600608,钢铁
600613,医药
600615,有色金属
600617,电力及公用事业
600638,房地产
600640,餐饮旅游
600642,电力及公用事业
600647,房地产
600649,房地产
600674,电力及公用事业
600681,电力及公用事业
600683,房地产
600706,餐饮旅游
600708,交通运输
600715,传媒
600717,交通运输
600740,煤炭
600742,汽车
600747,电子元器件
600749,餐饮旅游
600774,商贸零售
600781,医药
600783,建材
600806,机械
600808,钢铁
600815,机械
600817,房地产
600847,传媒
601607,医药
600851,医药
600872,食品饮料
600874,电力及公用事业
600876,建材
600881,建材
600883,建材
600975,农林牧渔
600980,有色金属
600993,医药
600997,煤炭
002506,电力设备
300366,通信
002582,食品饮料
002592,汽车
601311,汽车
002589,医药
002597,基础化工
300527,国防军工
603889,纺织服装
300536,建筑
603701,汽车
000001,银行
000019,食品饮料
000021,电子元器件
000046,房地产
000048,农林牧渔
000050,电子元器件
000060,有色金属
000062,房地产
000418,家电
000420,基础化工
000429,交通运输
000488,轻工制造
000523,基础化工
000525,基础化工
000530,机械
000532,电子元器件
000555,通信
000557,交通运输
000564,商贸零售
000566,医药
000594,交通运输
000596,食品饮料
000603,有色金属
000606,医药
000631,房地产
000633,有色金属
000639,食品饮料
000651,家电
000677,基础化工
000679,商贸零售
000681,传媒
000687,基础化工
000713,农林牧渔
000716,食品饮料
000723,煤炭
000726,纺织服装
000760,汽车
000762,有色金属
000776,非银行金融
000778,钢铁
000807,有色金属
000813,有色金属
000816,机械
000850,纺织服装
000852,机械
000863,餐饮旅游
000868,汽车
000898,钢铁
000900,交通运输
000909,综合
000911,农林牧渔
000937,煤炭
000939,电力及公用事业
000952,医药
000955,纺织服装
000980,汽车
000982,纺织服装
000995,食品饮料
002238,传媒
002251,商贸零售
002259,农林牧渔
002268,计算机
002272,机械
002266,电力设备
601107,交通运输
002277,商贸零售
002300,电力设备
002292,传媒
601126,电力设备
002490,机械
002607,汽车
300243,基础化工
300248,计算机
300246,医药
300260,机械
300284,建筑
300523,计算机
600959,传媒
002771,计算机
300511,农林牧渔
002818,商贸零售
002741,医药
300418,传媒
300440,计算机
603779,食品饮料
002747,机械
603567,医药
300466,机械
300469,计算机
601985,电力及公用事业
300465,计算机
002775,建筑
300486,机械
300490,电力设备
300478,基础化工
603898,轻工制造
603090,机械
603012,机械
002788,医药
300535,基础化工
002811,建筑
603189,计算机
603718,医药
002848,通信
603638,机械
603926,汽车
603200,电力及公用事业
002151,国防军工
002168,电力设备
002167,有色金属
002166,医药
002172,石油石化
002184,机械
002188,传媒
002193,纺织服装
002190,国防军工
002201,建材
601866,交通运输
002204,机械
601099,非银行金融
002226,基础化工
601225,煤炭
002631,农林牧渔
300293,机械
300285,基础化工
002647,电子元器件
300290,计算机
002656,纺织服装
603138,计算机
600008,电力及公用事业
600036,银行
600053,房地产
600060,家电
600071,电子元器件
600078,基础化工
600085,医药
600096,基础化工
600103,轻工制造
600110,电子元器件
600121,煤炭
600129,医药
600137,纺织服装
600153,交通运输
600161,医药
600169,机械
600173,房地产
600188,煤炭
600196,医药
600200,综合
600208,房地产
600216,医药
600228,基础化工
600235,轻工制造
600242,交通运输
600256,石油石化
600263,建筑
600271,计算机
600283,电力及公用事业
600290,电力设备
600298,食品饮料
600310,电力及公用事业
600318,建材
600326,建筑
600338,有色金属
600356,轻工制造
600368,交通运输
600376,房地产
600383,房地产
600396,电力及公用事业
600405,通信
300145,电力及公用事业
603167,交通运输
300157,计算机
002547,通信
300163,建材
002533,电力设备
300194,医药
002545,建筑
002550,医药
300178,餐饮旅游
002542,建筑
601799,汽车
300188,计算机
300345,建材
300190,电力及公用事业
300192,基础化工
603308,机械
002700,电力及公用事业
603566,农林牧渔
601969,钢铁
600917,电力及公用事业
300373,电子元器件
300377,计算机
603039,计算机
002850,机械
603040,汽车
300645,计算机
300599,基础化工
300652,汽车
601200,电力及公用事业
300673,农林牧渔
600418,汽车
600433,轻工制造
600448,纺织服装
600460,电子元器件
600477,建筑
600486,基础化工
600495,机械
600507,钢铁
600515,房地产
600522,通信
600535,医药
600545,建筑
600552,建材
600565,房地产
600572,医药
600580,电力设备
600598,农林牧渔
600605,商贸零售
600616,食品饮料
600623,汽车
600630,纺织服装
600641,房地产
600648,商贸零售
600655,商贸零售
600666,医药
600673,有色金属
600680,通信
600691,基础化工
600698,汽车
600705,非银行金融
600716,房地产
600723,商贸零售
600730,综合
600734,计算机
600741,汽车
600748,房地产
600755,商贸零售
600759,石油石化
600766,有色金属
600773,房地产
600784,钢铁
600791,房地产
600798,交通运输
600809,食品饮料
600816,非银行金融
600823,房地产
600834,交通运输
600841,汽车
600848,房地产
600859,商贸零售
600866,食品饮料
600873,食品饮料
600884,电子元器件
600891,商贸零售
600898,商贸零售
600985,基础化工
600995,电力及公用事业
002298,电力设备
002576,电力设备
300209,计算机
300231,计算机
002585,基础化工
002587,电子元器件
300236,基础化工
300239,医药
002796,机械
002739,传媒
300438,电子元器件
601198,非银行金融
002770,食品饮料
603355,家电
603585,基础化工
000007,有色金属
000010,建筑
000022,交通运输
000029,房地产
000036,房地产
000049,电子元器件
000061,商贸零售
000070,通信
000155,基础化工
000402,房地产
000409,钢铁
000417,商贸零售
000430,餐饮旅游
000505,房地产
000513,医药
000524,餐饮旅游
000531,电力及公用事业
000538,医药
000563,非银行金融
000567,房地产
000576,轻工制造
000586,通信
000593,电力及公用事业
000597,医药
000605,电力及公用事业
000612,有色金属
000625,汽车
000632,商贸零售
000650,医药
000662,基础化工
000670,电子元器件
000678,机械
000690,电力及公用事业
001696,机械
000703,石油石化
000717,钢铁
000725,电子元器件
000732,房地产
000753,汽车
000761,钢铁
000788,医药
000796,餐饮旅游
000803,综合
000825,钢铁
000856,机械
000880,机械
000893,农林牧渔
000899,电力及公用事业
000908,医药
000920,电力及公用事业
000928,建筑
000936,基础化工
000963,医药
000971,综合
000983,煤炭
000993,电力及公用事业
002230,通信
002237,有色金属
002265,汽车
002245,交通运输
002271,建材
002461,食品饮料
002280,计算机
002285,房地产
002294,医药
002467,通信
300244,医药
300250,通信
002620,建筑
300265,电力设备
300269,电子元器件
002616,电力及公用事业
002612,纺织服装
300409,建材
603696,食品饮料
603368,医药
603885,交通运输
603798,石油石化
300429,基础化工
002733,电子元器件
603999,传媒
002737,医药
603667,机械
300489,机械
600939,建筑
300496,计算机
300555,通信
300547,基础化工
300534,医药
002817,医药
300500,建筑
600936,传媒
603690,机械
002759,家电
300425,电力及公用事业
603928,基础化工
603218,电力设备
603579,医药
603903,电力及公用事业
603501,电子元器件
300590,通信
002163,建材
002173,医药
002179,国防军工
002180,电子元器件
601808,石油石化
002200,农林牧渔
601999,传媒
601898,煤炭
002628,建筑
002637,基础化工
002632,基础化工
002668,家电
300350,交通运输
002664,汽车
002852,农林牧渔
300659,计算机
600004,交通运输
600006,汽车
600026,交通运输
600029,交通运输
600056,医药
600058,钢铁
600073,食品饮料
600075,基础化工
600090,医药
600107,纺织服装
600109,非银行金融
600125,交通运输
600127,农林牧渔
600145,机械
600148,汽车
600150,机械
600165,机械
600167,电力及公用事业
600183,电子元器件
600185,房地产
600201,农林牧渔
600203,电子元器件
600220,纺织服装
600222,医药
600238,食品饮料
600240,房地产
600258,餐饮旅游
600260,综合
600275,农林牧渔
600277,基础化工
600279,交通运输
600292,电力及公用事业
600295,钢铁
600311,有色金属
600313,农林牧渔
600330,有色金属
600332,医药
600352,基础化工
600354,农林牧渔
600370,纺织服装
600372,国防军工
600389,基础化工
600391,国防军工
600408,煤炭
002520,国防军工
300158,医药
002517,传媒
