TradingDay,Bank,Appliance
2014-10-21,7.901999999999589,22.570999999999913
2014-10-22,4.643999999999323,33.7440000000006
2014-10-23,4.356999999999516,34.41100000000006
2014-10-24,3.424999999998363,35.551000000000386
2014-10-27,14.675999999998567,52.081999999999425
2014-10-28,17.355999999998858,47.25
2014-10-29,14.492999999998574,27.720000000000255
2014-10-30,5.6359999999976935,10.043999999999869
2014-10-31,-16.678000000002157,-22.895000000000437
2014-11-03,-49.55800000000227,-72.92300000000068
2014-11-04,-68.43900000000212,-95.09600000000137
2014-11-05,-76.00900000000183,-100.40700000000015
2014-11-06,-74.44100000000208,-109.9880000000012
2014-11-07,-47.132000000001426,-92.88900000000194
2014-11-10,-30.623000000002776,-69.35200000000168
2014-11-11,-36.15800000000263,-47.15200000000186
2014-11-12,-50.91900000000169,-42.12800000000243
2014-11-13,-68.07900000000154,-22.226000000002387
2014-11-14,-92.31200000000172,-19.096000000002277
2014-11-17,-85.50100000000157,-1.0740000000023429
2014-11-18,-44.42400000000271,-2.7670000000016444
2014-11-19,-1.8760000000024775,14.790999999997439
2014-11-20,36.525999999997566,17.33599999999842
2014-11-21,61.94999999999709,19.131999999997788
2014-11-24,63.064999999997326,0.0009999999974752427
2014-11-25,31.723999999996522,-23.264000000002852
2014-11-26,-9.438000000004195,-53.56200000000263
2014-11-27,-54.997000000004846,-77.12800000000334
2014-11-28,-118.91900000000487,-89.31400000000303
2014-12-01,-172.2270000000044,-93.56900000000405
2014-12-02,-236.42600000000357,-89.1590000000042
2014-12-03,-276.2200000000039,-103.37200000000394
2014-12-04,-333.20300000000407,-129.87800000000334
2014-12-05,-343.0450000000037,-152.042000000004
2014-12-08,-367.3380000000034,-177.2810000000045
2014-12-09,-293.58100000000377,-155.654000000005
2014-12-10,-256.4670000000033,-131.12200000000485
2014-12-11,-160.6810000000023,-86.67900000000645
2014-12-12,-66.99800000000232,-68.23200000000543
2014-12-15,54.987999999997555,-37.32300000000487
2014-12-16,36.87399999999616,-72.60200000000441
2014-12-17,25.374999999996362,-56.01700000000346
2014-12-18,-17.309000000002925,-63.67300000000432
2014-12-19,-90.81000000000313,-46.82800000000407
2014-12-22,-218.70500000000357,-22.473000000002685
2014-12-23,-239.31200000000263,15.78599999999642
2014-12-24,-188.1690000000035,12.74699999999666
2014-12-25,-172.7930000000024,36.849999999995816
2014-12-26,-154.51800000000367,35.359999999994216
2014-12-29,-71.6050000000032,27.870999999994638
2014-12-30,-66.73700000000281,46.25699999999506
2014-12-31,-154.53000000000338,47.807999999994536
2015-01-05,-196.07600000000366,4.478999999992993
2015-01-06,-203.10900000000402,-35.773000000007414
2015-01-07,-230.12300000000414,-98.72800000000643
2015-01-08,-182.06700000000365,-186.5180000000055
2015-01-09,-88.31100000000333,-231.6490000000058
2015-01-12,7.706999999995787,-215.66600000000562
2015-01-13,75.7139999999963,-186.7800000000043
2015-01-14,118.79599999999664,-135.07200000000557
2015-01-15,81.42599999999675,-83.93400000000565
2015-01-16,35.12699999999586,-65.07800000000498
2015-01-19,23.72899999999663,-31.194000000004962
2015-01-20,10.707999999995991,-9.538000000004104
2015-01-21,-4.213000000003376,-21.898000000002867
2015-01-22,46.221999999997024,-15.535000000003492
2015-01-23,99.59599999999591,6.735999999997148
2015-01-26,46.312999999996464,-56.15900000000238
2015-01-27,14.145999999995183,-76.75400000000263
2015-01-28,37.419999999994616,-52.74500000000262
2015-01-29,46.24399999999514,-31.63600000000406
2015-01-30,57.73099999999522,-27.262000000003354
2015-02-02,137.0939999999946,37.60599999999613
2015-02-03,172.37599999999475,62.18999999999687
2015-02-04,174.29999999999382,64.35499999999774
2015-02-05,157.1579999999958,56.732999999998356
2015-02-06,139.56199999999535,74.89999999999964
2015-02-09,88.42399999999543,63.13499999999931
2015-02-10,69.89799999999468,58.16400000000067
2015-02-11,39.229999999995016,39.551000000000386
2015-02-12,19.55699999999524,11.979999999998654
2015-02-13,-15.962000000004991,-45.9900000000016
2015-02-16,-23.048000000004322,-102.07000000000153
2015-02-17,-28.353000000003703,-156.99500000000262
2015-02-25,-19.392000000002554,-181.367000000002
2015-02-26,-24.111000000002605,-186.74900000000162
2015-02-27,-12.504000000003543,-178.6170000000011
2015-03-02,-11.495000000004438,-165.78900000000067
2015-03-03,1.6279999999951542,-120.47300000000087
2015-03-04,5.544999999994616,-108.27700000000095
2015-03-05,45.29599999999391,-89.14100000000053
2015-03-06,74.02199999999357,-48.943999999999505
2015-03-09,77.22299999999359,2.0920000000014625
2015-03-10,58.06399999999303,1.3480000000026848
2015-03-11,36.00399999999354,23.50500000000102
2015-03-12,-45.760000000005675,22.285000000000764
2015-03-13,-120.11600000000635,-22.174999999998363
2015-03-16,-144.7690000000057,-80.79199999999946
2015-03-17,-181.93600000000606,-117.82900000000063
2015-03-18,-219.30700000000706,-171.4949999999999
2015-03-19,-187.35200000000623,-220.23699999999917
2015-03-20,-160.5820000000067,-235.92599999999948
2015-03-23,-154.31700000000728,-240.52100000000064
2015-03-24,-123.66000000000804,-237.48300000000017
2015-03-25,-57.8890000000074,-203.39599999999882
2015-03-26,-35.29800000000705,-155.04699999999866
2015-03-27,-5.647000000006301,-124.18099999999959
2015-03-30,8.318999999993139,-93.77700000000095
2015-03-31,17.06699999999273,-82.43699999999899
2015-04-01,-22.04000000000633,-109.23999999999796
2015-04-02,-43.09400000000642,-164.43399999999656
2015-04-03,-71.0160000000078,-207.63099999999667
2015-04-07,-81.8910000000069,-250.62799999999606
2015-04-08,-118.6410000000069,-266.5779999999959
