TradingDay,Bank,Iron,Computer,Market
2014-10-21,7.901999999999589,-2.6470000000003893,41.43299999999954,0.07114964715234606
2014-10-22,4.643999999999323,12.225999999999658,40.23999999999933,0.09759654599921141
2014-10-23,4.356999999999516,22.605999999999767,36.10799999999972,0.11022962227119848
2014-10-24,3.424999999998363,29.158999999999878,23.721999999999298,0.10577167755951677
2014-10-27,14.675999999998567,36.932999999999765,32.94599999999991,0.12253120583122268
2014-10-28,17.355999999998858,35.56799999999953,23.133000000001175,0.10273831556975921
2014-10-29,14.492999999998574,22.708999999999605,-2.0100000000002183,0.04285573984562063
2014-10-30,5.6359999999976935,4.88599999999974,-34.06199999999944,-0.033945366692268664
2014-10-31,-16.678000000002157,-13.625000000000455,-51.37699999999904,-0.09467738061003139
2014-11-03,-49.55800000000227,-36.32100000000014,-79.1949999999988,-0.16379910862636038
2014-11-04,-68.43900000000212,-49.026000000000295,-75.03399999999874,-0.16869671067424008
2014-11-05,-76.00900000000183,-51.97500000000059,-52.6619999999989,-0.13653758348712053
2014-11-06,-74.44100000000208,-48.56400000000053,-32.061999999998534,-0.10113446458721853
2014-11-07,-47.132000000001426,-37.89600000000041,-20.017999999999574,-0.06367103995492229
2014-11-10,-30.623000000002776,-25.655000000000427,-0.6369999999997162,-0.019840234735811535
2014-11-11,-36.15800000000263,-12.582000000000335,14.306999999999789,0.018474273790578977
2014-11-12,-50.91900000000169,-6.262000000000171,11.755000000000564,0.02956879059652806
2014-11-13,-68.07900000000154,-4.7840000000001055,32.918999999999414,0.08008520966989607
2014-11-14,-92.31200000000172,-8.544000000000324,53.56700000000001,0.11694118875195336
2014-11-17,-85.50100000000157,-4.105000000000246,61.77599999999984,0.13999262272996837
2014-11-18,-44.42400000000271,-7.838000000000193,37.23099999999977,0.09964251155014026
2014-11-19,-1.8760000000024775,-7.617000000000189,19.949000000000524,0.08078029481824167
2014-11-20,36.525999999997566,-0.5950000000000273,-17.811999999999443,0.017715861530477994
2014-11-21,61.94999999999709,2.7860000000002856,-58.856999999999516,-0.05102387881694348
2014-11-24,63.064999999997326,-4.282000000000153,-92.3789999999999,-0.10565656282667035
2014-11-25,31.723999999996522,-10.718000000000302,-110.72699999999986,-0.1334499953653676
2014-11-26,-9.438000000004195,-17.43600000000015,-121.23900000000049,-0.1654926638509231
2014-11-27,-54.997000000004846,-29.713000000000193,-131.10600000000068,-0.18847100479849743
2014-11-28,-118.91900000000487,-36.91200000000026,-137.7510000000011,-0.18776998456731064
2014-12-01,-172.2270000000044,-39.30899999999997,-136.22200000000066,-0.17214055230565428
2014-12-02,-236.42600000000357,-38.373999999999796,-126.44200000000183,-0.1433143326881261
2014-12-03,-276.2200000000039,-42.73199999999974,-119.16800000000057,-0.12026193109465133
2014-12-04,-333.20300000000407,-48.25700000000006,-121.54199999999946,-0.09855008280955424
2014-12-05,-343.0450000000037,-47.01800000000003,-105.73000000000047,-0.06248082928898846
2014-12-08,-367.3380000000034,-50.600000000000364,-88.56300000000101,-0.055760100838561755
2014-12-09,-293.58100000000377,-47.6040000000005,-32.077000000001135,0.005942860231408886
2014-12-10,-256.4670000000033,-42.945000000000164,9.693999999998596,0.04756281481993341
2014-12-11,-160.6810000000023,-42.028999999999996,72.5679999999993,0.10005285618742121
2014-12-12,-66.99800000000232,-51.564000000000306,96.8769999999995,0.08807165563166208
2014-12-15,54.987999999997555,-49.64100000000053,82.16500000000087,0.06706559603322226
2014-12-16,36.87399999999616,-64.14599999999996,-3.2239999999992506,-0.0547742375351401
2014-12-17,25.374999999996362,-67.16799999999967,-63.972999999999956,-0.1071033088657849
2014-12-18,-17.309000000002925,-53.60799999999995,-125.60000000000036,-0.1452246289617385
2014-12-19,-90.81000000000313,-48.170999999999594,-140.72400000000016,-0.11382068826851821
2014-12-22,-218.70500000000357,-48.43099999999981,-70.10300000000188,0.003281870098081896
2014-12-23,-239.31200000000263,-23.85499999999979,36.22399999999925,0.1731344112009321
2014-12-24,-188.1690000000035,-7.004000000000133,118.16499999999905,0.26573811003554937
2014-12-25,-172.7930000000024,-5.198999999999842,185.84400000000005,0.3266711872616739
2014-12-26,-154.51800000000367,12.77299999999991,220.17100000000028,0.33606551368886706
2014-12-29,-71.6050000000032,27.052999999999884,177.61599999999999,0.24758280844034708
2014-12-30,-66.73700000000281,18.69900000000007,127.96999999999935,0.15047586607706265
2014-12-31,-154.53000000000338,3.5980000000001837,96.46000000000004,0.0942361580896467
2015-01-05,-196.07600000000366,-6.5359999999996035,85.34100000000035,0.05625553376615677
2015-01-06,-203.10900000000402,-16.54399999999987,66.10100000000057,0.02353446289227179
2015-01-07,-230.12300000000414,-25.998999999999796,50.45500000000084,0.00436262054558334
2015-01-08,-182.06700000000365,-26.79399999999987,20.140000000000327,-0.02969692108056421
2015-01-09,-88.31100000000333,-16.59999999999968,-16.796000000000276,-0.05953944986865345
2015-01-12,7.706999999995787,6.964000000000624,-80.9989999999998,-0.07404665136034438
2015-01-13,75.7139999999963,21.569000000000642,-129.66600000000108,-0.07013578078215588
2015-01-14,118.79599999999664,40.81500000000051,-157.63400000000001,-0.04817122636573856
2015-01-15,81.42599999999675,49.29000000000042,-162.88900000000103,-0.01809949732941618
2015-01-16,35.12699999999586,48.50000000000023,-189.20200000000023,-0.02184192404095775
2015-01-19,23.72899999999663,43.05300000000011,-181.69899999999961,-0.03134877066153763
2015-01-20,10.707999999995991,37.15500000000043,-185.3189999999995,-0.06407262928910207
2015-01-21,-4.213000000003376,19.755000000000337,-200.4939999999997,-0.1230416783210817
